transaction_id,customer_id,transaction_date,payment_type,merchant,amount,status,city,txn_year,txn_month,txn_month_name,txn_quarter,is_success,is_failed
T000087,C00866,2025-06-23,Net Banking,Swiggy,99415,Success,Chennai,2025,6,Jun,2,1,0
T000088,C00148,2025-05-16,Card,Swiggy,91375,Failed,Hyderabad,2025,5,May,2,0,1
T000089,C01436,2025-08-08,Net Banking,Amazon,17257,Success,Coimbatore,2025,8,Aug,3,1,0
T000090,C01621,2025-05-29,UPI,Myntra,39955,Success,Mumbai,2025,5,May,2,1,0
T000091,C00336,2025-05-28,ATM,Zomato,91320,Success,Coimbatore,2025,5,May,2,1,0
T000092,C01838,2025-02-07,ATM,Flipkart,98191,Success,Hyderabad,2025,2,Feb,1,1,0
T000093,C01334,2025-01-03,Card,Myntra,75555,Success,Mumbai,2025,1,Jan,1,1,0
T000094,C01609,2025-08-08,ATM,Zomato,56082,Success,Pune,2025,8,Aug,3,1,0
T000095,C00345,2025-08-26,UPI,Amazon,46707,Failed,Kochi,2025,8,Aug,3,0,1
T000096,C00368,2025-08-30,UPI,Amazon,67659,Success,Bangalore,2025,8,Aug,3,1,0
T000097,C01216,2025-04-22,ATM,Myntra,94806,Success,Hyderabad,2025,4,Apr,2,1,0
T000098,C00070,2025-01-31,ATM,Zomato,64145,Success,Coimbatore,2025,1,Jan,1,1,0
T000099,C01221,2025-09-02,ATM,Myntra,97774,Success,Kochi,2025,9,Sep,3,1,0
T000100,C01417,2025-07-23,UPI,Zomato,85337,Success,Hyderabad,2025,7,Jul,3,1,0
T000101,C01296,2025-06-17,Net Banking,Swiggy,1620,Success,Chennai,2025,6,Jun,2,1,0
T000102,C00170,2025-02-01,Net Banking,Myntra,87759,Success,Mumbai,2025,2,Feb,1,1,0
T000103,C00461,2025-01-06,Net Banking,Swiggy,91028,Success,Bangalore,2025,1,Jan,1,1,0
T000104,C01627,2025-06-01,ATM,Zomato,63563,Failed,Bangalore,2025,6,Jun,2,0,1
T000105,C01440,2025-04-22,Card,PhonePe,16514,Success,Coimbatore,2025,4,Apr,2,1,0
T000106,C00131,2025-07-02,ATM,Zomato,91947,Success,Hyderabad,2025,7,Jul,3,1,0
T000107,C01139,2025-07-29,Net Banking,Amazon,68113,Success,Hyderabad,2025,7,Jul,3,1,0
T000108,C01104,2025-07-02,UPI,Flipkart,86421,Success,Bangalore,2025,7,Jul,3,1,0
T000109,C00371,2025-08-09,ATM,Amazon,72808,Success,Kochi,2025,8,Aug,3,1,0
T000110,C00644,2025-02-01,UPI,Flipkart,75477,Success,Kochi,2025,2,Feb,1,1,0
T000111,C00331,2025-01-23,Card,Amazon,11190,Failed,Bangalore,2025,1,Jan,1,0,1
T000112,C01037,2025-03-18,Card,PhonePe,22592,Success,Pune,2025,3,Mar,1,1,0
T000113,C01936,2025-06-18,UPI,Flipkart,39500,Success,Mumbai,2025,6,Jun,2,1,0
T000114,C01937,2025-05-13,Card,Myntra,70105,Success,Kochi,2025,5,May,2,1,0
T000115,C01182,2025-05-06,Card,PhonePe,46252,Success,Pune,2025,5,May,2,1,0
T000116,C01046,2025-02-23,UPI,Myntra,5963,Success,Bangalore,2025,2,Feb,1,1,0
T000117,C00386,2025-02-06,Card,Flipkart,17690,Success,Chennai,2025,2,Feb,1,1,0
T000118,C00443,2025-06-01,Card,Swiggy,16941,Success,Hyderabad,2025,6,Jun,2,1,0
T000119,C00865,2025-01-20,Card,Swiggy,50140,Success,Coimbatore,2025,1,Jan,1,1,0
T000120,C00335,2025-04-13,Net Banking,Amazon,33415,Success,Kochi,2025,4,Apr,2,1,0
T000121,C01926,2025-06-27,ATM,PhonePe,26807,Success,Kochi,2025,6,Jun,2,1,0
T000122,C01501,2025-03-10,ATM,Myntra,48877,Success,Mumbai,2025,3,Mar,1,1,0
T000123,C01327,2025-07-30,ATM,Zomato,20218,Success,Pune,2025,7,Jul,3,1,0
T000124,C01614,2025-04-22,Net Banking,Amazon,79216,Success,Coimbatore,2025,4,Apr,2,1,0
T000125,C00554,2025-02-01,UPI,Myntra,71975,Success,Chennai,2025,2,Feb,1,1,0
T000126,C00675,2025-06-13,UPI,Swiggy,43814,Success,Coimbatore,2025,6,Jun,2,1,0
T000127,C00300,2025-08-11,ATM,Swiggy,1392,Success,Kochi,2025,8,Aug,3,1,0
T000128,C01985,2025-02-26,Net Banking,Amazon,16287,Success,Coimbatore,2025,2,Feb,1,1,0
T000129,C01492,2025-08-13,Card,PhonePe,64275,Success,Bangalore,2025,8,Aug,3,1,0
T000130,C00715,2025-06-29,Card,PhonePe,35627,Success,Chennai,2025,6,Jun,2,1,0
T000131,C01837,2025-01-13,ATM,Swiggy,98649,Success,Hyderabad,2025,1,Jan,1,1,0
T000132,C00707,2025-07-26,Net Banking,Zomato,77735,Success,Coimbatore,2025,7,Jul,3,1,0
T000133,C00020,2025-06-25,ATM,Myntra,16663,Success,Mumbai,2025,6,Jun,2,1,0
T000134,C01163,2025-07-08,Card,Amazon,95182,Success,Coimbatore,2025,7,Jul,3,1,0
T000135,C00759,2025-07-01,ATM,Myntra,79883,Success,Hyderabad,2025,7,Jul,3,1,0
T000136,C00938,2025-02-16,Net Banking,Swiggy,61528,Success,Bangalore,2025,2,Feb,1,1,0
T000137,C00565,2025-09-01,Net Banking,PhonePe,94270,Success,Chennai,2025,9,Sep,3,1,0
T000138,C01668,2025-02-28,Card,Myntra,11495,Failed,Coimbatore,2025,2,Feb,1,0,1
T000139,C00833,2025-07-17,Card,Amazon,83288,Success,Bangalore,2025,7,Jul,3,1,0
T000140,C01495,2025-03-03,UPI,Flipkart,75507,Success,Chennai,2025,3,Mar,1,1,0
T000141,C01523,2025-03-15,Net Banking,Amazon,55672,Success,Pune,2025,3,Mar,1,1,0
T000142,C01910,2025-07-07,ATM,Zomato,65348,Success,Coimbatore,2025,7,Jul,3,1,0
T000143,C01387,2025-08-16,UPI,Zomato,1921,Success,Chennai,2025,8,Aug,3,1,0
T000144,C01866,2025-08-01,UPI,Myntra,55802,Success,Kochi,2025,8,Aug,3,1,0
T000145,C01536,2025-03-30,ATM,Myntra,86761,Failed,Coimbatore,2025,3,Mar,1,0,1
T000146,C01687,2025-08-14,UPI,PhonePe,58905,Failed,Chennai,2025,8,Aug,3,0,1
T000147,C01382,2025-08-27,ATM,Flipkart,9946,Success,Chennai,2025,8,Aug,3,1,0
T000148,C00274,2025-05-12,Card,Amazon,55507,Success,Coimbatore,2025,5,May,2,1,0
T000149,C00350,2025-04-06,UPI,Swiggy,89106,Success,Chennai,2025,4,Apr,2,1,0
T000150,C01105,2025-08-06,UPI,Swiggy,39313,Success,Bangalore,2025,8,Aug,3,1,0
T000151,C00543,2025-02-24,UPI,Myntra,82829,Success,Hyderabad,2025,2,Feb,1,1,0
T000152,C00446,2025-08-25,Card,Myntra,67671,Success,Hyderabad,2025,8,Aug,3,1,0
T000153,C00073,2025-08-28,Net Banking,PhonePe,64098,Success,Coimbatore,2025,8,Aug,3,1,0
T000154,C00013,2025-06-07,Net Banking,Swiggy,39205,Success,Kochi,2025,6,Jun,2,1,0
T000155,C00011,2025-03-31,ATM,Zomato,46569,Success,Mumbai,2025,3,Mar,1,1,0
T000156,C00883,2025-05-06,ATM,Amazon,69449,Success,Pune,2025,5,May,2,1,0
T000157,C00315,2025-04-16,UPI,Zomato,1005,Success,Chennai,2025,4,Apr,2,1,0
T000158,C01345,2025-03-06,ATM,Zomato,51920,Success,Bangalore,2025,3,Mar,1,1,0
T000159,C00747,2025-04-20,ATM,PhonePe,35421,Success,Mumbai,2025,4,Apr,2,1,0
T000160,C00899,2025-06-18,Net Banking,Flipkart,18433,Success,Coimbatore,2025,6,Jun,2,1,0
T000161,C00889,2025-01-02,Card,Myntra,26113,Success,Pune,2025,1,Jan,1,1,0
T000162,C00584,2025-01-11,ATM,Zomato,55288,Success,Coimbatore,2025,1,Jan,1,1,0
T000163,C01846,2025-01-09,ATM,Myntra,26182,Failed,Coimbatore,2025,1,Jan,1,0,1
T000164,C01966,2025-06-20,Card,Amazon,55293,Success,Pune,2025,6,Jun,2,1,0
T000165,C01015,2025-07-24,ATM,Swiggy,98546,Success,Mumbai,2025,7,Jul,3,1,0
T000166,C01806,2025-04-13,Net Banking,Flipkart,14482,Failed,Coimbatore,2025,4,Apr,2,0,1
T000167,C01624,2025-01-06,ATM,Flipkart,45204,Success,Chennai,2025,1,Jan,1,1,0
T000168,C01572,2025-06-25,ATM,Amazon,89007,Success,Kochi,2025,6,Jun,2,1,0
T000169,C00880,2025-09-07,UPI,Zomato,63039,Success,Mumbai,2025,9,Sep,3,1,0
T000170,C00996,2025-01-22,Net Banking,Flipkart,81051,Success,Pune,2025,1,Jan,1,1,0
T000171,C01048,2025-02-17,ATM,Swiggy,15175,Success,Mumbai,2025,2,Feb,1,1,0
T000172,C01436,2025-03-05,Net Banking,Flipkart,62214,Success,Coimbatore,2025,3,Mar,1,1,0
T000173,C01659,2025-01-27,ATM,Flipkart,77589,Success,Kochi,2025,1,Jan,1,1,0
T000174,C00305,2025-02-28,UPI,Flipkart,52696,Success,Chennai,2025,2,Feb,1,1,0
T000175,C00394,2025-08-26,ATM,Zomato,2414,Success,Coimbatore,2025,8,Aug,3,1,0
T000176,C00187,2025-08-10,UPI,Zomato,53485,Success,Chennai,2025,8,Aug,3,1,0
T000177,C01434,2025-06-12,ATM,Flipkart,44163,Success,Chennai,2025,6,Jun,2,1,0
T000178,C00126,2025-05-11,Net Banking,Myntra,6870,Success,Bangalore,2025,5,May,2,1,0
T000179,C00552,2025-04-04,Card,Swiggy,93368,Success,Mumbai,2025,4,Apr,2,1,0
T000180,C00656,2025-08-18,UPI,Flipkart,5459,Success,Coimbatore,2025,8,Aug,3,1,0
T000181,C01353,2025-07-10,Card,Flipkart,37497,Success,Bangalore,2025,7,Jul,3,1,0
T000182,C01861,2025-06-05,UPI,Zomato,24327,Success,Bangalore,2025,6,Jun,2,1,0
T000183,C01007,2025-04-04,Card,Swiggy,14718,Success,Coimbatore,2025,4,Apr,2,1,0
T000184,C00028,2025-06-24,ATM,Swiggy,47360,Success,Mumbai,2025,6,Jun,2,1,0
T000185,C00741,2025-07-10,Card,Flipkart,85329,Success,Coimbatore,2025,7,Jul,3,1,0
T000186,C01197,2025-04-09,UPI,Amazon,17202,Success,Kochi,2025,4,Apr,2,1,0
T000187,C01233,2025-01-31,UPI,PhonePe,85867,Success,Coimbatore,2025,1,Jan,1,1,0
T000188,C00396,2025-06-30,Net Banking,Amazon,9914,Failed,Mumbai,2025,6,Jun,2,0,1
T000189,C01268,2025-03-29,Card,Myntra,62254,Failed,Chennai,2025,3,Mar,1,0,1
T000190,C00414,2025-05-17,ATM,Amazon,16855,Success,Coimbatore,2025,5,May,2,1,0
T000191,C01128,2025-07-02,Card,PhonePe,45626,Success,Chennai,2025,7,Jul,3,1,0
T000192,C00919,2025-06-11,UPI,Zomato,8974,Success,Mumbai,2025,6,Jun,2,1,0
T000193,C01073,2025-08-27,UPI,Flipkart,78632,Success,Hyderabad,2025,8,Aug,3,1,0
T000194,C01982,2025-02-03,Card,Amazon,74309,Success,Chennai,2025,2,Feb,1,1,0
T000195,C01992,2025-06-27,ATM,Myntra,52200,Success,Bangalore,2025,6,Jun,2,1,0
T000196,C01091,2025-08-11,UPI,Flipkart,57476,Success,Bangalore,2025,8,Aug,3,1,0
T000197,C00787,2025-05-24,Net Banking,Zomato,79689,Success,Bangalore,2025,5,May,2,1,0
T000198,C00377,2025-01-01,ATM,PhonePe,28648,Success,Mumbai,2025,1,Jan,1,1,0
T000199,C00019,2025-08-14,Net Banking,PhonePe,92866,Success,Bangalore,2025,8,Aug,3,1,0
T000200,C00531,2025-03-19,ATM,Swiggy,92932,Success,Pune,2025,3,Mar,1,1,0
T000201,C00244,2025-02-13,ATM,Amazon,70035,Success,Hyderabad,2025,2,Feb,1,1,0
T000202,C00081,2025-06-13,ATM,Swiggy,17528,Success,Mumbai,2025,6,Jun,2,1,0
T000203,C01620,2025-01-14,ATM,Flipkart,70170,Success,Hyderabad,2025,1,Jan,1,1,0
T000204,C01329,2025-03-30,Card,Swiggy,11011,Failed,Coimbatore,2025,3,Mar,1,0,1
T000205,C01811,2025-05-21,Card,Myntra,17612,Success,Pune,2025,5,May,2,1,0
T000206,C01253,2025-03-17,Card,Amazon,82145,Success,Pune,2025,3,Mar,1,1,0
T000207,C01688,2025-04-02,ATM,Myntra,36759,Success,Pune,2025,4,Apr,2,1,0
T000208,C01990,2025-01-05,UPI,Myntra,97849,Success,Pune,2025,1,Jan,1,1,0
T000209,C01937,2025-06-17,Card,Myntra,83239,Success,Kochi,2025,6,Jun,2,1,0
T000210,C00423,2025-07-29,Net Banking,Flipkart,42601,Success,Bangalore,2025,7,Jul,3,1,0
T000211,C01192,2025-06-11,Net Banking,Flipkart,58565,Success,Coimbatore,2025,6,Jun,2,1,0
T000212,C01488,2025-04-22,Card,Flipkart,62884,Success,Bangalore,2025,4,Apr,2,1,0
T000213,C00372,2025-04-28,ATM,Flipkart,24854,Success,Hyderabad,2025,4,Apr,2,1,0
T000214,C01932,2025-07-06,ATM,Myntra,37068,Success,Bangalore,2025,7,Jul,3,1,0
T000215,C00334,2025-08-15,ATM,Zomato,90194,Success,Kochi,2025,8,Aug,3,1,0
T000216,C00143,2025-02-06,UPI,Zomato,32245,Success,Mumbai,2025,2,Feb,1,1,0
T000217,C01322,2025-09-06,Net Banking,Amazon,95036,Success,Kochi,2025,9,Sep,3,1,0
T000218,C01489,2025-07-12,UPI,PhonePe,13171,Success,Hyderabad,2025,7,Jul,3,1,0
T000219,C00043,2025-01-29,UPI,Myntra,5833,Success,Chennai,2025,1,Jan,1,1,0
T000220,C01578,2025-01-22,Card,Flipkart,82332,Success,Bangalore,2025,1,Jan,1,1,0
T000221,C01623,2025-09-05,UPI,Amazon,71189,Success,Chennai,2025,9,Sep,3,1,0
T000222,C00694,2025-08-07,UPI,Flipkart,18349,Success,Mumbai,2025,8,Aug,3,1,0
T000223,C01153,2025-08-17,Net Banking,Flipkart,40389,Success,Coimbatore,2025,8,Aug,3,1,0
T000224,C00317,2025-03-04,UPI,PhonePe,90807,Success,Bangalore,2025,3,Mar,1,1,0
T000225,C01114,2025-02-01,UPI,Amazon,13576,Success,Bangalore,2025,2,Feb,1,1,0
T000226,C00211,2025-05-11,Net Banking,Flipkart,258,Success,Hyderabad,2025,5,May,2,1,0
T000227,C00050,2025-02-28,Net Banking,Zomato,19416,Success,Coimbatore,2025,2,Feb,1,1,0
T000228,C00588,2025-02-27,Net Banking,Myntra,93796,Success,Pune,2025,2,Feb,1,1,0
T000229,C00231,2025-05-06,ATM,Amazon,29528,Success,Kochi,2025,5,May,2,1,0
T000230,C01958,2025-03-14,Card,Amazon,80800,Success,Coimbatore,2025,3,Mar,1,1,0
T000231,C00739,2025-08-25,UPI,Amazon,79333,Success,Chennai,2025,8,Aug,3,1,0
T000232,C00878,2025-05-16,Card,PhonePe,23871,Success,Chennai,2025,5,May,2,1,0
T000233,C00308,2025-08-17,Card,PhonePe,37718,Success,Mumbai,2025,8,Aug,3,1,0
T000234,C00213,2025-03-11,Net Banking,Myntra,48480,Failed,Kochi,2025,3,Mar,1,0,1
T000235,C01661,2025-08-21,UPI,Amazon,19582,Success,Mumbai,2025,8,Aug,3,1,0
T000236,C00301,2025-03-23,ATM,Zomato,58649,Success,Chennai,2025,3,Mar,1,1,0
T000237,C01609,2025-09-07,Net Banking,Amazon,14932,Success,Pune,2025,9,Sep,3,1,0
T000238,C01966,2025-07-06,Card,Flipkart,11955,Success,Pune,2025,7,Jul,3,1,0
T000239,C00262,2025-02-16,Net Banking,Swiggy,41953,Success,Kochi,2025,2,Feb,1,1,0
T000240,C00986,2025-06-27,Net Banking,PhonePe,83540,Success,Hyderabad,2025,6,Jun,2,1,0
T000241,C01643,2025-08-30,ATM,Zomato,54974,Success,Hyderabad,2025,8,Aug,3,1,0
T000242,C01104,2025-05-17,Net Banking,PhonePe,70382,Success,Bangalore,2025,5,May,2,1,0
T000243,C00788,2025-01-22,Net Banking,PhonePe,75843,Success,Pune,2025,1,Jan,1,1,0
T000244,C01662,2025-07-11,ATM,Myntra,11536,Success,Coimbatore,2025,7,Jul,3,1,0
T000245,C00006,2025-02-22,UPI,Swiggy,73287,Success,Mumbai,2025,2,Feb,1,1,0
T000246,C00274,2025-08-24,UPI,Amazon,45889,Success,Coimbatore,2025,8,Aug,3,1,0
T000247,C01740,2025-08-10,ATM,Swiggy,60444,Success,Hyderabad,2025,8,Aug,3,1,0
T000248,C01748,2025-05-22,Net Banking,Flipkart,27721,Success,Coimbatore,2025,5,May,2,1,0
T000249,C00115,2025-07-11,ATM,Amazon,91297,Success,Kochi,2025,7,Jul,3,1,0
T000250,C00774,2025-07-07,UPI,Myntra,55767,Success,Bangalore,2025,7,Jul,3,1,0
T000251,C01437,2025-01-28,UPI,Zomato,77947,Success,Kochi,2025,1,Jan,1,1,0
T000252,C00062,2025-02-07,Card,Flipkart,10453,Success,Kochi,2025,2,Feb,1,1,0
T000253,C00026,2025-05-26,Net Banking,Flipkart,24010,Success,Chennai,2025,5,May,2,1,0
T000254,C00287,2025-07-11,Card,Zomato,54039,Success,Chennai,2025,7,Jul,3,1,0
T000255,C00910,2025-07-20,UPI,Swiggy,14683,Success,Mumbai,2025,7,Jul,3,1,0
T000256,C01805,2025-06-14,UPI,PhonePe,98552,Success,Kochi,2025,6,Jun,2,1,0
T000257,C00329,2025-01-03,Net Banking,Zomato,89216,Failed,Mumbai,2025,1,Jan,1,0,1
T000258,C00931,2025-05-22,Card,PhonePe,65881,Success,Pune,2025,5,May,2,1,0
T000259,C00466,2025-04-19,ATM,Swiggy,12150,Success,Bangalore,2025,4,Apr,2,1,0
T000260,C01948,2025-02-02,ATM,Zomato,81239,Success,Pune,2025,2,Feb,1,1,0
T000261,C00804,2025-02-17,UPI,Myntra,61498,Success,Kochi,2025,2,Feb,1,1,0
T000262,C01337,2025-06-14,Net Banking,Zomato,21703,Success,Hyderabad,2025,6,Jun,2,1,0
T000263,C00761,2025-06-15,Net Banking,Flipkart,35478,Success,Bangalore,2025,6,Jun,2,1,0
T000264,C00160,2025-04-03,Card,Amazon,31495,Success,Coimbatore,2025,4,Apr,2,1,0
T000265,C01110,2025-01-28,UPI,Flipkart,78364,Success,Kochi,2025,1,Jan,1,1,0
T000266,C01864,2025-03-21,ATM,PhonePe,26540,Success,Coimbatore,2025,3,Mar,1,1,0
T000267,C00067,2025-03-03,Card,Amazon,74827,Success,Kochi,2025,3,Mar,1,1,0
T000268,C01155,2025-07-22,Net Banking,Amazon,6397,Success,Bangalore,2025,7,Jul,3,1,0
T000269,C01933,2025-03-21,UPI,Swiggy,98624,Success,Kochi,2025,3,Mar,1,1,0
