loan_id,customer_id,loan_type,loan_amount,interest_rate,emi,status,is_active
L00237,C00538,Education Loan,123391,10.56,4643,Closed,0
L00238,C00089,Business Loan,1563653,10.23,45189,Closed,0
L00239,C00919,Car Loan,1669641,9.87,21881,Active,1
L00240,C00676,Car Loan,1547063,11.74,47495,Closed,0
L00241,C00125,Personal Loan,3289437,11.37,10082,Closed,0
L00242,C01688,Gold Loan,2501336,9.79,31598,Active,1
L00243,C01888,Home Loan,4108334,12.43,14420,Closed,0
L00244,C00306,Personal Loan,2025456,11.91,50196,Closed,0
L00245,C02000,Home Loan,4317900,13.16,48369,Active,1
L00246,C00427,Car Loan,2370638,9.45,41153,Closed,0
L00247,C01938,Car Loan,442569,10.84,40327,Active,1
L00248,C01410,Personal Loan,4358366,12.04,24114,Closed,0
L00249,C01435,Business Loan,4257829,7.32,12071,Closed,0
L00250,C00571,Home Loan,1338788,10.16,16118,Closed,0
L00251,C01418,Personal Loan,3225388,10.87,50028,Closed,0
L00252,C01266,Car Loan,962616,11.79,47467,Closed,0
L00253,C01655,Education Loan,513307,8.85,32864,Closed,0
L00254,C00168,Car Loan,2016598,13.27,44483,Active,1
L00255,C00821,Gold Loan,200116,12.86,31265,Active,1
L00256,C01835,Business Loan,1133534,8.74,36919,Active,1
L00257,C00024,Gold Loan,186568,7.1,44712,Active,1
L00258,C01217,Education Loan,4549098,7.06,44803,Closed,0
L00259,C01497,Business Loan,1215344,11.38,30651,Closed,0
L00260,C01294,Car Loan,1748950,7.03,12662,Active,1
L00261,C00371,Personal Loan,1064544,7.89,38887,Active,1
L00262,C00817,Business Loan,225143,8.43,23987,Active,1
L00263,C01585,Personal Loan,1303919,8.59,35432,Active,1
L00264,C00462,Car Loan,2223023,7.97,7679,Closed,0
L00265,C01741,Home Loan,4376430,8.5,37409,Active,1
L00266,C00521,Business Loan,4949849,11.54,20761,Active,1
L00267,C01374,Personal Loan,1850315,11.8,15553,Active,1
L00268,C00362,Business Loan,2575778,9.97,59216,Closed,0
L00269,C00245,Business Loan,4946450,10.97,8313,Active,1
L00270,C01042,Gold Loan,836890,12.36,29215,Active,1
L00271,C00301,Home Loan,2062320,11.5,32235,Closed,0
L00272,C01466,Gold Loan,1547981,7.56,20036,Closed,0
L00273,C01356,Car Loan,2582690,8.8,11600,Active,1
L00274,C00980,Home Loan,480090,13.11,36811,Closed,0
L00275,C01643,Car Loan,2182795,8.16,14475,Closed,0
L00276,C01257,Gold Loan,3845364,8.4,17311,Closed,0
L00277,C00519,Business Loan,3109667,11.53,37384,Active,1
L00278,C01605,Education Loan,2305086,12.93,12506,Active,1
L00279,C01540,Home Loan,3406765,11.61,57442,Active,1
L00280,C00005,Gold Loan,3863640,10.41,31489,Closed,0
L00281,C00990,Car Loan,4309324,9.49,37000,Closed,0
L00282,C01854,Education Loan,835401,12.09,51164,Closed,0
L00283,C00959,Personal Loan,1948219,8.63,17574,Active,1
L00284,C01022,Business Loan,362677,8.29,38007,Closed,0
L00285,C01601,Gold Loan,519918,9.29,41937,Closed,0
L00286,C01391,Education Loan,3236125,12.33,43102,Active,1
L00287,C00949,Gold Loan,4449757,7.84,51702,Active,1
L00288,C00945,Business Loan,3412277,8.08,38452,Active,1
L00289,C01801,Business Loan,3012638,8.11,20182,Active,1
L00290,C01545,Education Loan,2799140,9.99,32482,Active,1
L00291,C01840,Education Loan,1318590,7.38,34189,Active,1
L00292,C00131,Home Loan,3793064,9.25,24634,Closed,0
L00293,C01421,Education Loan,3864067,10.22,22286,Closed,0
L00294,C00508,Car Loan,988527,7.3,30435,Closed,0
L00295,C01466,Car Loan,2542215,8.82,42639,Active,1
L00296,C01609,Gold Loan,4168429,13.64,48940,Closed,0
L00297,C01000,Gold Loan,4174377,10.64,58274,Active,1
L00298,C00482,Home Loan,1439999,13.84,52234,Active,1
L00299,C00449,Gold Loan,66250,13.85,3636,Active,1
L00300,C00460,Car Loan,1062160,13.29,34445,Active,1
L00301,C01597,Car Loan,2675473,12.53,4196,Active,1
L00302,C01264,Gold Loan,1678391,7.38,58060,Active,1
L00303,C01044,Home Loan,1646972,12.26,20660,Active,1
L00304,C00216,Personal Loan,3749564,12.15,10165,Active,1
L00305,C01909,Gold Loan,4841548,9.58,48505,Active,1
L00306,C01628,Car Loan,4670701,13.3,44087,Active,1
L00307,C01580,Business Loan,4589208,10.49,26919,Closed,0
L00308,C00468,Personal Loan,1538260,11.5,11727,Closed,0
L00309,C01076,Home Loan,1251669,13.35,18419,Closed,0
L00310,C00432,Business Loan,839728,11.4,30495,Active,1
L00311,C00064,Car Loan,3647610,12.81,39817,Closed,0
L00312,C01866,Personal Loan,388149,12.38,38575,Active,1
L00313,C01745,Education Loan,4905327,7.47,40449,Closed,0
L00314,C01117,Education Loan,4073813,7.27,45535,Closed,0
L00315,C01431,Business Loan,4561362,12.25,58491,Closed,0
L00316,C00559,Car Loan,4970798,7.45,38763,Closed,0
L00317,C00168,Home Loan,937437,9.4,46837,Active,1
L00318,C00902,Personal Loan,2758927,9.34,33105,Active,1
L00319,C00031,Gold Loan,909643,13.94,51948,Active,1
L00320,C01077,Education Loan,1187256,9.36,22754,Active,1
L00321,C01750,Personal Loan,188413,7.92,44985,Closed,0
L00322,C01900,Personal Loan,4116753,11.84,57486,Closed,0
L00323,C00325,Home Loan,2934355,12.9,14012,Closed,0
L00324,C01595,Gold Loan,1284725,8.69,59707,Active,1
L00325,C01436,Car Loan,1908968,9.01,50725,Closed,0
L00326,C00786,Personal Loan,4597797,8.11,33278,Closed,0
L00327,C01551,Car Loan,4938339,10.07,33482,Closed,0
L00328,C00955,Home Loan,4846873,10.56,21029,Closed,0
L00329,C00055,Car Loan,1632860,11.92,22739,Closed,0
L00330,C01882,Gold Loan,2829663,11.47,31859,Closed,0
L00331,C01837,Home Loan,3245936,12.55,18221,Closed,0
L00332,C01415,Gold Loan,4529268,13.68,54202,Closed,0
L00333,C00193,Education Loan,2485112,12.3,29250,Active,1
L00334,C01258,Personal Loan,4788828,7.65,35604,Closed,0
L00335,C01540,Personal Loan,3318110,12.38,24340,Active,1
L00336,C01549,Business Loan,66970,13.4,38633,Active,1
L00337,C00175,Home Loan,245755,7.22,58682,Closed,0
L00338,C01107,Personal Loan,1030736,13.94,36974,Active,1
L00339,C01501,Education Loan,1755912,10.34,19393,Active,1
L00340,C01202,Business Loan,4115692,11.75,6123,Active,1
L00341,C01867,Personal Loan,1610028,9.22,51046,Active,1
L00342,C01279,Personal Loan,1986786,11.37,12836,Active,1
L00343,C00973,Car Loan,2491912,13.12,20372,Closed,0
L00344,C01488,Car Loan,2425633,13.39,13505,Closed,0
L00345,C01063,Education Loan,1515440,9.03,55236,Closed,0
L00346,C01673,Gold Loan,3906349,13.46,7969,Closed,0
L00347,C00639,Home Loan,3472862,13.48,39572,Closed,0
L00348,C00921,Business Loan,4897417,12.22,11235,Active,1
L00349,C01395,Education Loan,1061728,8.53,31119,Active,1
L00350,C00392,Education Loan,3202737,7.6,39752,Active,1
L00351,C00650,Gold Loan,1763831,13.38,38691,Closed,0
L00352,C01061,Education Loan,4778848,7.2,7586,Active,1
L00353,C01025,Home Loan,1527897,13.63,13574,Closed,0
L00354,C00445,Car Loan,4708856,7.78,31464,Closed,0
L00355,C00154,Home Loan,1501095,13.72,28478,Active,1
L00356,C00350,Gold Loan,2773212,12.29,51241,Active,1
L00357,C01245,Personal Loan,1660571,9.22,11554,Closed,0
L00358,C00596,Personal Loan,4137561,11.71,55267,Active,1
L00359,C01810,Business Loan,2181892,7.2,9508,Active,1
L00360,C00727,Gold Loan,1162711,7.41,20391,Active,1
L00361,C00382,Home Loan,4768697,13.86,38445,Active,1
L00362,C01025,Gold Loan,1037355,8.07,34553,Closed,0
L00363,C01349,Education Loan,3665871,13.38,46318,Closed,0
L00364,C01051,Personal Loan,268146,8.35,9391,Closed,0
L00365,C00348,Business Loan,2285484,7.35,42937,Active,1
L00366,C01794,Education Loan,2988655,7.56,34906,Closed,0
L00367,C01816,Gold Loan,4538220,13.62,19899,Active,1
L00368,C00621,Gold Loan,903197,11.99,51252,Closed,0
L00369,C01014,Business Loan,886076,10.9,56290,Closed,0
L00370,C00140,Business Loan,1336510,7.02,50299,Closed,0
L00371,C01273,Gold Loan,3628123,9.45,54730,Closed,0
L00372,C00187,Business Loan,2250943,7.27,29420,Closed,0
L00373,C01544,Gold Loan,2960722,11.44,41139,Active,1
L00374,C01422,Car Loan,507239,13.55,9503,Active,1
L00375,C01712,Education Loan,3099914,13.05,38966,Closed,0
L00376,C01450,Business Loan,4024892,8.15,59605,Closed,0
L00377,C00968,Gold Loan,2741753,7.33,14449,Closed,0
L00378,C01264,Personal Loan,1036916,11.63,53154,Active,1
L00379,C01964,Education Loan,1465511,9.61,21706,Closed,0
L00380,C01904,Car Loan,149711,8.73,3875,Closed,0
L00381,C01181,Car Loan,4629017,7.93,19473,Closed,0
L00382,C00962,Education Loan,1295797,8.66,27586,Closed,0
L00383,C01366,Education Loan,4413431,8.34,3716,Closed,0
L00384,C00655,Home Loan,3465108,8.41,3293,Closed,0
L00385,C00873,Personal Loan,3441856,12.28,43731,Closed,0
L00386,C00027,Business Loan,4901534,12.85,5520,Closed,0
L00387,C00428,Education Loan,1192744,8.19,50447,Active,1
L00388,C01024,Education Loan,2350344,10.73,17254,Closed,0
L00389,C00142,Car Loan,3034961,9.13,4663,Active,1
L00390,C01219,Home Loan,3087235,9.68,4266,Closed,0
L00391,C01531,Business Loan,2405324,10.92,7649,Closed,0
L00392,C01169,Personal Loan,1113519,10.76,57858,Closed,0
L00393,C01461,Education Loan,334755,11.96,11836,Active,1
L00394,C01998,Car Loan,587212,7.57,34955,Closed,0
L00395,C01799,Business Loan,3456889,8.33,43740,Active,1
L00396,C01896,Business Loan,437449,9.45,19592,Closed,0
L00397,C01974,Home Loan,4031011,7.04,55034,Closed,0
L00398,C00469,Car Loan,930033,10.41,42730,Active,1
L00399,C00165,Education Loan,1396370,9.95,59988,Active,1
L00400,C01803,Home Loan,4589229,11.71,20220,Closed,0
L00401,C00814,Personal Loan,690917,12.29,19446,Closed,0
L00402,C01398,Business Loan,3380858,7.73,14766,Closed,0
L00403,C00688,Home Loan,4475562,10.75,42890,Closed,0
L00404,C00738,Car Loan,4291573,12.7,15747,Closed,0
L00405,C01210,Business Loan,4050256,13.96,36520,Active,1
L00406,C00873,Gold Loan,3566931,10.6,5827,Closed,0
L00407,C00676,Home Loan,929863,11.02,52204,Closed,0
L00408,C00586,Gold Loan,2589612,11.94,15723,Active,1
L00409,C00172,Education Loan,3846603,13.96,53116,Closed,0
L00410,C00601,Car Loan,3920314,9.0,34261,Closed,0
L00411,C00048,Education Loan,382675,10.65,44793,Closed,0
L00412,C01511,Car Loan,4681478,12.05,46898,Active,1
L00413,C00640,Business Loan,3181044,13.03,21584,Active,1
L00414,C01903,Personal Loan,3962498,11.94,23196,Active,1
L00415,C01995,Home Loan,2749058,9.98,12852,Closed,0
L00416,C00930,Home Loan,758365,13.51,25562,Closed,0
L00417,C00332,Education Loan,3413436,13.21,43892,Active,1
L00418,C01106,Home Loan,3132429,7.88,55938,Active,1
L00419,C00055,Home Loan,4733029,9.28,29086,Active,1
L00420,C01673,Home Loan,3593082,12.03,53475,Closed,0
L00421,C01910,Gold Loan,3481445,7.27,47972,Closed,0
L00422,C01300,Car Loan,4782241,12.45,59497,Active,1
L00423,C00489,Education Loan,2857927,9.3,56768,Active,1
L00424,C01056,Business Loan,1741540,12.08,17737,Active,1
L00425,C01340,Home Loan,2259732,11.07,45654,Active,1
L00426,C00733,Car Loan,4338389,9.27,40877,Active,1
L00427,C01028,Gold Loan,1508423,12.22,55875,Closed,0
L00428,C00880,Education Loan,2750053,8.45,35767,Closed,0
L00429,C01877,Gold Loan,785402,7.24,4393,Active,1
L00430,C00311,Business Loan,741427,7.0,4283,Active,1
L00431,C01835,Personal Loan,3557563,9.79,58645,Active,1
L00432,C00956,Business Loan,159714,10.56,36517,Closed,0
L00433,C01631,Car Loan,2637387,11.86,49147,Active,1
L00434,C00802,Personal Loan,4195495,11.86,53997,Closed,0
L00435,C00708,Home Loan,1289150,13.05,42905,Closed,0
L00436,C01913,Personal Loan,3023505,7.44,8575,Active,1
L00437,C00273,Business Loan,1026692,9.53,16194,Closed,0
L00438,C00416,Education Loan,2798920,13.91,13241,Closed,0
L00439,C00150,Business Loan,3942288,13.05,51844,Closed,0
L00440,C01860,Home Loan,3203807,8.17,11932,Active,1
L00441,C00436,Business Loan,258711,7.77,46844,Active,1
L00442,C01565,Education Loan,422758,7.81,33209,Closed,0
L00443,C00632,Education Loan,215496,10.77,22399,Closed,0
L00444,C00544,Business Loan,1032165,10.41,24196,Active,1
L00445,C00934,Business Loan,1746236,7.67,11652,Active,1
L00446,C00456,Home Loan,2724759,12.98,17828,Closed,0
L00447,C01226,Education Loan,3215154,8.21,57855,Closed,0
L00448,C00588,Home Loan,300152,12.88,44767,Active,1
L00449,C00927,Car Loan,927345,9.09,27888,Closed,0
L00450,C01150,Gold Loan,3475516,11.86,37619,Active,1
L00451,C01882,Personal Loan,3857479,11.72,15627,Active,1
L00452,C00912,Business Loan,3347777,7.22,56229,Closed,0
L00453,C01425,Business Loan,3515557,8.51,26582,Closed,0
L00454,C01888,Car Loan,190887,7.48,7350,Active,1
